Genes,0a,0b,4a,4b,8a,8b,12a,12b,16a,16b,20a,20b
Mp1g00940,723.9144418,742.2656999,766.1361886,741.9026805,819.7010383,760.4145154,676.3748721,618.2569721,785.5041886,697.9720684,617.5248068,838.3248319
Mp1g00950,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00960,480.2337244,416.5203757,563.1711862,539.6804987,705.5986316,744.1020382,672.5789984,758.7588195,481.5513362,499.4508511,576.4922166,418.1337265
Mp1g00970,2.775190982,1.044008849,1.850694846,8.774054109,0.401370798,6.761626052,2.713891871,9.202960023,2.369725098,0.676503992,8.16043915,0.440627957
Mp1g00980,1.39E-17,1.39E-17,0,3.26454091,0.058270746,0.830913042,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.013455026,5.666156336
Mp1g00990,1704.501909,1544.35565,3064.528591,3095.989692,630.4876369,1286.717538,599.9462685,611.8291976,354.7600302,399.8093382,741.3100643,345.1074257
Mp1g01000,1.863156011,0.006984243,0.937493452,2.209774332,0.166954959,2.52993366,0.94247253,0,1.39E-17,1.39E-17,4.100934172,4.799731129
Mp1g01010,575.4640031,598.9688942,702.2465931,834.5194032,576.4675341,641.4895441,638.1579988,620.7606894,561.8554564,505.4817428,994.3033343,775.5331416
Mp1g01020,1310.465051,1170.127918,769.9054401,899.3303828,698.7984547,401.1477211,373.5878239,355.6165667,422.076892,415.1239384,1481.794744,1856.540823
Mp1g01030,536.0756809,536.0879408,483.0986038,526.2008739,608.2917865,504.0876059,582.2473942,590.6140052,557.98957,524.082574,636.9540133,676.3820465
Mp1g01040,1676.936963,1816.494937,1137.797588,975.4830345,945.7273343,1496.746812,1547.391346,1600.555169,2105.894958,1933.438195,1251.274981,586.7340327
Mp1g01050,6.366397367,9.264429705,13.36939714,9.026122994,11.97532798,3.041804957,3.715179371,4.076781316,4.343515993,9.494216851,12.27038492,6.986001925
