target_id	TF_id	cor	p	in_fimo	target_name	TF_name
Mp5g18050	Mp5g20530	0.930171038588688	1.16198850648175e-05	FALSE	CLE2	IDDL3
Mp1g03100	Mp5g20660	0.849384550502675	0.000471351303599654	FALSE	TRIHELIX26	DELLA1
Mp1g23310	Mp5g20660	0.893917335977228	8.83281058838836e-05	FALSE	TRIHELIX22	DELLA1
Mp1g24520	Mp5g20660	0.87166420834646	0.000220171175837169	FALSE	4R-MYB1	DELLA1
Mp1g26740	Mp5g20660	-0.862723223067504	0.000303523891549862	FALSE	TRIHELIX5	DELLA1
Mp3g00010	Mp5g20660	0.843396990247978	0.00056675674518214	FALSE	WRKY1	DELLA1
Mp3g05910	Mp5g20660	0.845468564261413	0.000532198245798643	FALSE	MYB (1)	DELLA1
Mp3g17660	Mp5g20660	0.841877441226791	0.000593192916711338	FALSE	WRKY7	DELLA1
Mp4g04920	Mp5g20660	0.83245601305796	0.000779120869476291	FALSE	BHLH17	DELLA1
Mp5g09130	Mp5g20660	0.851625747305762	0.000439045145279149	FALSE	GATA5	DELLA1
Mp1g01110	Mp5g21990	0.912215363605066	3.53768486642814e-05	FALSE	BHLH33	NSP1
Mp1g05310	Mp5g21990	0.824742501154656	0.000962441472872388	FALSE	GATA1	NSP1
Mp2g02150	Mp5g21990	0.83152439784025	0.000799697452212644	FALSE	TRIHELIX29	NSP1
Mp2g02280	Mp5g21990	0.835207011323431	0.000720740220558014	FALSE	TRIHELIX30	NSP1
Mp2g07170	Mp5g21990	0.888473653870168	0.000112371084834528	FALSE	BZIP4	NSP1
Mp3g19670	Mp5g21990	0.831062109849028	0.000810062607648598	FALSE	BBX3	NSP1
Mp4g00180	Mp5g21990	0.930328698961873	1.14924002723171e-05	FALSE	WRKY13	NSP1
Mp4g04910	Mp5g21990	0.898426461636201	7.1643566003976e-05	FALSE	BHLH16	NSP1
Mp4g13880	Mp5g21990	0.840826486582082	0.000612028453744973	FALSE	HRT-like (1)	NSP1
Mp5g18050	Mp5g21990	0.945705727492041	3.39085960732177e-06	FALSE	CLE2	NSP1
Mp1g11660	Mp6g02620	0.891601572905082	9.8004170027588e-05	FALSE	WOX13	NAC7
Mp1g23000	Mp6g02620	0.903133289455068	5.69753585459853e-05	FALSE	BAM1	NAC7
Mp2g03850	Mp6g04430	0.854446173242506	0.000400863155338271	FALSE	LS	C2H2 (4)
Mp5g21990	Mp6g05720	0.830125805781448	0.000831373725484141	FALSE	NSP1	C3H (8)
Mp1g08640	Mp6g07050	0.930746255788968	1.11600940835288e-05	FALSE	3R-MYB1	CLE1 
Mp1g19590	Mp6g07050	0.896118540902894	7.98410629962998e-05	FALSE	TCP2	CLE1 
Mp2g25260	Mp6g07050	-0.855220097234334	0.000390851792827718	FALSE	CCAAT-NFYC3	CLE1 
Mp2g25420	Mp6g07050	0.885567096476951	0.000127152214578707	FALSE	C3H (3)	CLE1 
Mp3g23720	Mp6g07050	0.879747725606967	0.000161297569035934	FALSE	C3H (5)	CLE1 
Mp6g02620	Mp6g07050	0.896387294140476	7.88503584501221e-05	FALSE	NAC7	CLE1 
Mp1g09960	Mp6g07410	-0.842170821640206	0.000588015935934827	FALSE	TDR	NF-YB (1)
Mp1g09960	Mp6g08290	-0.885746525637857	0.000126197912482251	FALSE	TDR	ASLBD8
Mp1g09960	Mp6g10210	-0.835821846475043	0.000708168230000084	FALSE	TDR	C2H2-4
Mp1g03580	Mp6g13820	0.868020227306885	0.000251642608107172	FALSE	BZIP15	SCL4
Mp1g07070	Mp6g13820	0.939465399556384	5.78016877250676e-06	FALSE	ARF3	SCL4
Mp1g08640	Mp6g13820	0.892941432643212	9.23098126173194e-05	FALSE	3R-MYB1	SCL4
Mp1g10440	Mp6g13820	0.918813269186682	2.42094908724511e-05	FALSE	DLT	SCL4
Mp2g00500	Mp6g13820	0.882322213159661	0.000145406940229131	FALSE	BHLH47	SCL4
Mp4g06170	Mp6g13820	0.860720220969284	0.00032517567578072	FALSE	BHLH23	SCL4
Mp4g20600	Mp6g13820	0.865361943879931	0.000276732499734589	FALSE	RRB	SCL4
Mp1g27720	Mp6g15470	0.866343514484308	0.00026725118857307	FALSE	CLV1	TRIHELIX20
Mp1g09960	Mp6g17420	0.866662912957747	0.000264221258231334	TRUE	TDR	TRIHELIX37
Mp1g20490	Mp7g00650	0.834620024472269	0.000732903187287359	FALSE	LISCL	ASLBD5
Mp1g11660	Mp7g03490	0.865613480356141	0.000274278245307791	TRUE	WOX13	GATA4
Mp1g23000	Mp7g03490	0.86330401448979	0.000297460751114142	FALSE	BAM1	GATA4
